yearmonth,serverid,servername,gamescore,year,topn,rankGroupsReturner,rankGroupsServer,ones,serverProbability,serverFrequency
201111,12,Michael Lammer,30-30,2011,100,5,9999,1,.66666669,6
201210,12,Michael Lammer,30-30,2012,100,6,9999,1,.5,4
201111,12,Michael Lammer,30-40,2011,100,5,9999,1,1,3
201210,12,Michael Lammer,30-40,2012,100,6,9999,1,.80000001,5
201111,12,Michael Lammer,40-0,2011,100,5,9999,1,.81818181,11
201111,12,Michael Lammer,40-15,2011,100,5,9999,1,.71428573,7
201210,12,Michael Lammer,40-15,2012,100,6,9999,1,1,1
201111,12,Michael Lammer,40-30,2011,100,5,9999,1,.83333331,6
201210,12,Michael Lammer,40-30,2012,100,6,9999,1,0,2
201111,12,Michael Lammer,40-40,2011,100,5,9999,1,1,4
201210,12,Michael Lammer,40-40,2012,100,6,9999,1,.66666669,6
201210,12,Michael Lammer,40-50,2012,100,6,9999,1,.5,2
201111,12,Michael Lammer,50-40,2011,100,5,9999,1,.75,4
201210,12,Michael Lammer,50-40,2012,100,6,9999,1,.80000001,5
201205,14,Aljaz Bedene,0-0,2012,100,5,11,1,.40000001,10
201303,14,Aljaz Bedene,0-0,2013,100,6,6,1,.6423077,260
201403,14,Aljaz Bedene,0-0,2014,100,3,11,1,.64356434,101
201508,14,Aljaz Bedene,0-0,2015,100,2,6,1,.6806283,191
201205,14,Aljaz Bedene,0-15,2012,100,5,11,1,.5,6
201308,14,Aljaz Bedene,0-15,2013,100,5,11,1,.64516127,93
201403,14,Aljaz Bedene,0-15,2014,100,6,11,1,.66666669,36
201505,14,Aljaz Bedene,0-15,2015,100,4,6,1,.59016395,61
201205,14,Aljaz Bedene,0-30,2012,100,5,11,1,.66666669,3
201301,14,Aljaz Bedene,0-30,2013,100,1,6,1,.45454547,33
201402,14,Aljaz Bedene,0-30,2014,100,2,11,1,.58333331,12
201507,14,Aljaz Bedene,0-30,2015,100,4,6,1,.75999999,25
201205,14,Aljaz Bedene,0-40,2012,100,5,11,1,0,1
